ID,Category,CategoryForExport,Subcategory,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity,OMP
2.3.11.10,Security Options,Local Policies,Security Options: Network security,Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinServerSec,,,,536870912,537395200,=,Medium,� 
2.3.13.1,Security Options,Local Policies,Security Options: Shutdown,Shutdown: Allow system to be shut down without having to log on,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,ShutdownWithoutLogon,,,,0,0,=,Medium,� 
2.3.15.1,Security Options,Local Policies,Security Options: System objects,System objects: Require case insensitivity for non-Windows subsystem,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel,ObCaseInsensitive,,,,1,1,=,Medium,� 
2.3.15.2,Security Options,Local Policies,Security Options: System objects,System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links),Registry,,HKLM:\System\CurrentControlSet\Control\Session Manager,ProtectionMode,,,,1,1,=,Medium,� 
2.3.17.1,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Admin Approval Mode for the Built-in Administrator account,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,,,,0,1,=,Medium,� 
2.3.17.2,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorAdmin,,,,5,2,=,Medium,� 
2.3.17.3,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Behavior of the elevation prompt for standard users,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorUser,,,,0,0,=,Medium,� 
2.3.17.4,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Detect application installations and prompt for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableInstallerDetection,,,,0,1,=,Medium,� 
2.3.17.5,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Only elevate UIAccess applications that are installed in secure locations,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableSecureUIAPaths,,,,1,1,=,Medium,� 
2.3.17.6,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Run all administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,,,,1,1,=,Medium,� 
2.3.17.7,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Switch to the secure desktop when prompting for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,,,,1,1,=,Medium,� 
2.3.17.8,Security Options,Local Policies,Security Options: User Account Control,User Account Control: Virtualize file and registry write failures to per-user locations,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableVirtualization,,,,1,1,=,Medium,� 
9.1.1,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"EnableFirewall (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,EnableFirewall,,,,1,1,=,Medium,� 
9.1.2,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Inbound Connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultInboundAction,,,,1,1,=,Medium,� 
9.1.3,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Outbound Connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultOutboundAction,,,,0,0,=,Medium,� 
9.1.4,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Display a notification (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DisableNotifications,,,,0,1,=,Low,� 
9.1.5,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Name of log file (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\domainfw.log,=,Low,� 
9.1.6,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Log size limit (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,� 
9.1.7,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Log dropped packets (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,� 
9.1.8,Windows Firewall,Windows Firewall With Advanced Security,Domain Profile,"Log successful connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low,� 
9.2.1,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"EnableFirewall (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,EnableFirewall,,,,1,1,=,Medium,� 
9.2.2,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Inbound Connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultInboundAction,,,,1,1,=,Medium,� 
9.2.3,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Outbound Connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultOutboundAction,,,,0,0,=,Medium,� 
9.2.4,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Display a notification (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DisableNotifications,,,,0,1,=,Low,� 
9.2.5,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Name of log file (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\privatefw.log,=,Low,� 
9.2.6,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Log size limit (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,� 
9.2.7,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Log dropped packets (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,� 
9.2.8,Windows Firewall,Windows Firewall With Advanced Security,Private Profile,"Log successful connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low,� 
9.3.1,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"EnableFirewall (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,EnableFirewall,,,,0,1,=,Medium,� 
9.3.2,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Inbound Connections (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultInboundAction,,,,1,1,=,Medium,� 
9.3.3,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Outbound Connections (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultOutboundAction,,,,0,0,=,Medium,� 
9.3.4,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Display a notification (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DisableNotifications,,,,0,1,=,Low,� 
9.3.5,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Apply local firewall rules (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,AllowLocalPolicyMerge,,,,0,0,=,Low,� 
9.3.6,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Apply local connection security rules (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,AllowLocalIPsecPolicyMerge,,,,0,0,=,Low,� 
9.3.7,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Name of log file (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\publicfw.log,=,Low,� 
9.3.8,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Log size limit (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,� 
9.3.9,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Log dropped packets (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,� 
9.3.10,Windows Firewall,Windows Firewall With Advanced Security,Public Profile,"Log successful connections (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low,� 
17.1.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Logon,Credential Validation,auditpol,{0CCE923F-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg und Fehler,=,Low,� 
17.1.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Logon,Kerberos Authentication Service,auditpol,{0CCE9242-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg und Fehler,=,Low,� 
17.1.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Logon,Kerberos Service Ticket Operations,auditpol,{0CCE9240-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg und Fehler,=,Low,� 
17.2.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,Application Group Management,auditpol,{0CCE9239-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.2.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,Computer Account Management,auditpol,{0CCE9236-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.2.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,Distribution Group Management,auditpol,{0CCE9238-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.2.4,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,Other Account Management Events,auditpol,{0CCE923A-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.2.5,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,Security Group Management,auditpol,{0CCE9237-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.2.6,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Account Management,User Account Management,auditpol,{0CCE9235-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg und Fehler,=,Low,� 
17.3.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Detailed Tracking,Plug and Play Events,auditpol,{0cce9248-69ae-11d9-bed3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.3.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Detailed Tracking,Process Creation,auditpol,{0CCE922B-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.4.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,DS Access,Directory Service Access,auditpol,{0CCE923B-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Failure,contains,Low,� 
17.4.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,DS Access,Directory Service Changes,auditpol,{0CCE923C-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.5.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Account Lockout,auditpol,{0CCE9217-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Failure,contains,Low,� 
17.5.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Group Membership,auditpol,{0cce9249-69ae-11d9-bed3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.5.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Logoff,auditpol,{0CCE9216-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.5.4,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Logon,auditpol,{0CCE9215-69AE-11D9-BED3-505054503030},,,,,,Erfolg und Fehler,Erfolg und Fehler,=,Low,� 
17.5.5,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Other Logon/Logoff Events,auditpol,{0CCE921C-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.5.6,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Logon/Logoff,Special Logon,auditpol,{0CCE921B-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.6.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Object Access,Detailed File Share,auditpol,{0CCE9244-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Failure,contains,Low,� 
17.6.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Object Access,File Share,auditpol,{0CCE9224-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.6.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Object Access,Other Object Access Events,auditpol,{0CCE9227-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.6.4,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Object Access,Removable Storage,auditpol,{0CCE9245-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.7.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Policy Change,Audit Policy Change,auditpol,{0CCE922F-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.7.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Policy Change,Authentication Policy Change,auditpol,{0CCE9230-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.7.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Policy Change,Authorization Policy Change,auditpol,{0CCE9231-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.7.4,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Policy Change,MPSSVC Rule-Level Policy Change,auditpol,{0CCE9232-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.7.5,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Policy Change,Other Policy Change Events,auditpol,{0CCE9234-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Failure,contains,Low,� 
17.8.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,Privilege Use,Sensitive Privilege Use,auditpol,{0CCE9228-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.9.1,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,System,IPsec Driver,auditpol,{0CCE9213-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg und Fehler,=,Low,� 
17.9.2,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,System,Other System Events,auditpol,{0CCE9214-69AE-11D9-BED3-505054503030},,,,,,Erfolg und Fehler,Erfolg und Fehler,=,Low,� 
17.9.3,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,System,Security State Change,auditpol,{0CCE9210-69AE-11D9-BED3-505054503030},,,,,,Erfolg,Erfolg,contains,Low,� 
17.9.4,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,System,Security System Extension,auditpol,{0CCE9211-69AE-11D9-BED3-505054503030},,,,,,Keine Überwachung,Erfolg,contains,Low,� 
17.9.5,Advanced Audit Policy Configuration,Advanced Audit Policy Configuration,System,System Integrity,auditpol,{0CCE9212-69AE-11D9-BED3-505054503030},,,,,,Erfolg und Fehler,Erfolg und Fehler,=,Low,� 
18.1.1.1,Administrative Templates: Control Panel,Administrative Templates (Computer),Control Panel: Personalization,Personalization: Prevent enabling lock screen camera,Registry,,HKLM:\Software\Policies\Microsoft\Windows\Personalization,NoLockScreenCamera,,,,0,1,=,Low,� 
18.1.1.2,Administrative Templates: Control Panel,Administrative Templates (Computer),Control Panel: Personalization,Personalization: Prevent enabling lock screen slide,Registry,,HKLM:\Software\Policies\Microsoft\Windows\Personalization,NoLockScreenSlideshow,,,,0,1,=,Low,� 
18.1.2.2,Administrative Templates: Control Panel,Administrative Templates (Computer),Control Panel: Regional and Language Options,Regional and Language Options: Allow users to enable online speech recognition services,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization,AllowInputPersonalization,,,,1,0,=,Medium,� 
18.1.3,Administrative Templates: Control Panel,Administrative Templates (Computer),Control Panel:,Allow Online Tips,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,AllowOnlineTips,,,,1,0,=,Medium,� 
18.2.1,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,LAPS AdmPwd GPO Extension / CSE (Member),Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA},DllName,,,,,C:\Program Files\LAPS\CSE\AdmPwd.dll,=,Medium,� 
18.2.2,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,Do not allow password expiration time longer than required by policy (Member),Registry,,HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd,PwdExpirationProtectionEnabled,,,,0,1,=,Medium,� 
18.2.3,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,Enable local admin password management (Member),Registry,,HKLM:\Software\Policies\Microsoft Services\AdmPwd,AdmPwdEnabled,,,,0,1,=,Medium,� 
18.2.4,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,Password Settings: Password Complexity (Member),Registry,,HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordComplexity,,,,4,4,=,Medium,� 
18.2.5,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,Password Settings: Password Length (Member),Registry,,HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordLength,,,,14,15,>=,Medium,� 
18.2.6,Administrative Templates: LAPS,Administrative Templates (Computer),LAPS,Password Settings: Password Age (Days) (Member),Registry,,HKLM:\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordLength,,,,30,30,<=,Medium,� 
18.3.1,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),Apply UAC restrictions to local accounts on network logons (Member),Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LocalAccountTokenFilterPolicy,,,,1,1,=,Medium,� 
18.3.2,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),Configure SMB v1 client driver,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10,Start,,,,4,4,=,Medium,� 
18.3.3,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),Configure SMB v1 server,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,SMB1,,,,0,0,=,Medium,� 
18.3.4,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),Enable Structured Exception Handling Overwrite Protection (SEHOP),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel,DisableExceptionChainValidation,,,,0,1,=,Medium,� 
18.3.6,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),NetBT NodeType configuration,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters,NodeType,,,,0,2,=,Medium,� 
18.3.7,MS Security Guide,Administrative Templates (Computer),MSS (Legacy),WDigest Authentication,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest,UseLogonCredential,,,,0,0,=,High,� 
18.4.1,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended),Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoAdminLogon,,,,0,0,=,Medium,� 
18.4.2,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing),Registry,,HKLM:\System\CurrentControlSet\Services\Tcpip6\Parameters,DisableIPSourceRouting,,,,0,2,=,Medium,� 
18.4.3,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing),Registry,,HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters,DisableIPSourceRouting,,,,1,2,=,Medium,� 
18.4.4,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes,Registry,,HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters,EnableICMPRedirect,,,,1,0,=,Medium,� 
18.4.5,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters,KeepAliveTime,,,,7200000,300000,<=,Medium,� 
18.4.6,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers,Registry,,HKLM:\System\CurrentControlSet\Services\Netbt\Parameters,NoNameReleaseOnDemand,,,,1,1,=,Medium,� 
18.4.7,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses (could lead to DoS),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters,PerformRouterDiscovery,,,,1,0,=,Medium,� 
18.4.8,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager,SafeDLLSearchMode,,,,1,1,=,Medium,� 
18.4.9,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended),Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,ScreenSaverGracePeriod,,,,5,5,<=,Medium,� 
18.4.10,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted,Registry,,HKLM:\System\CurrentControlSet\Services\Tcpip6\Parameters,TcpMaxDataRetransmissions,,,,5,3,<=,Medium,� 
18.4.11,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted,Registry,,HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters,TcpMaxDataRetransmissions,,,,5,3,<=,Medium,� 
18.4.12,MSS (Legacy),Administrative Templates (Computer),MSS (Legacy),MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Eventlog\Security,WarningLevel,,,,0,90,<=,Medium,� 
18.5.4.1,Administrative Templates: Network,Administrative Templates (Computer),Network: DNS Client,DNS Client: Turn off multicast name resolution (LLMNR),Registry,,HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient,EnableMulticast,,,,0,1,=,Medium,� 
18.5.5.1,Administrative Templates: Network,Administrative Templates (Computer),Network: Fonts,Fonts: Enable Font Providers,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,EnableFontProviders,,,,1,0,=,Medium,� 
18.5.8.1,Administrative Templates: Network,Administrative Templates (Computer),Network: Lanman Workstation,Lanman Workstation: Enable insecure guest logons,Registry,,HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation,AllowInsecureGuestAuth,,,,1,0,=,Medium,� 
18.5.9.1.1,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOndomain),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowLLTDIOOndomain,,,,0,0,=,Medium,� 
18.5.9.1.2,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (AllowLLTDIOOnPublicNet),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowLLTDIOOnPublicNet,,,,0,0,=,Medium,� 
18.5.9.1.3,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (EnableLLTDIO),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,EnableLLTDIO,,,,0,0,=,Medium,� 
18.5.9.1.4,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Link-Layer Topology Discovery: Turn on Mapper I/O (LLTDIO) driver (ProhibitLLTDIOOnPrivateNet),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,ProhibitLLTDIOOnPrivateNet,,,,0,0,=,Medium,� 
18.5.9.2.1,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Turn on Responder (RSPNDR) driver (AllowRspndrOnDomain),Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD,AllowRspndrOnDomain,,,,0,0,=,Medium,� 
18.5.9.2.2,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Turn on Responder (RSPNDR) driver (AllowRspndrOnPublicNet),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,AllowRspndrOnPublicNet,,,,0,0,=,Medium,� 
18.5.9.2.3,Administrative Templates: Network,Administrative Templates (Computer),Network: Link-Layer Topology Discovery,Turn on Responder (RSPNDR) driver (EnableRspndr),Registry,,HKLM:\Software\Policies\Microsoft\Windows\LLTD,EnableRspndr,,,,0,0,=,Medium,� 
